"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"460";282;0,283767330426928;0;0,0415537488708225;43;36;45;-19;50;-20;36;31;-9;-18;14;-19;-7;"easy";"clim";"s";-50;-49;-49;1;46;0;101,43;2,33333333333333;-0,180969587473653;"disc";"conc";"0"
"461";282;0,283767330426928;0;0,0415537488708225;43;36;45;-19;50;-20;36;31;-9;-18;14;-19;-7;"easy";"gmo";"s";37;34;36;2;-46;0;301,855;2,33333333333333;-0,180969587473653;"disc";"conc";"0"
"462";282;0,283767330426928;0;0,0415537488708225;43;36;45;-19;50;-20;36;31;-9;-18;14;-19;-7;"easy";"hom";"ns";-12;10;13;3;19;1;93,64;2,33333333333333;-0,180969587473653;"conc";"neutr";"0"
"463";284;-0,426377597109304;0;-0,625112917795844;50;50;-50;-50;-8;3;-50;-50;-50;-11;-16;-18;-14;"easy";"clim";"ns";-50;-50;-50;1;13;0;8,235;3;-0,180969587473653;"neutr";"disc";"0"
"464";284;-0,426377597109304;0;-0,625112917795844;50;50;-50;-50;-8;3;-50;-50;-50;-11;-16;-18;-14;"easy";"gmo";"ns";-50;-50;-50;3;-50;0;3,565;3;-0,180969587473653;"neutr";"disc";"0"
"465";284;-0,426377597109304;0;-0,625112917795844;50;50;-50;-50;-8;3;-50;-50;-50;-11;-16;-18;-14;"easy";"hom";"s";-50;-50;-50;2;-50;0;5,037;3;-0,180969587473653;"neutr";"neutr";"0"
"466";286;0,196810808687797;1;0,374887082204156;-9;26;-9;1;31;1;1;-31;1;-50;36;-22;1;"easy";"clim";"ns";1;1;-20;2;46;1;246,335;1,66666666666667;0,485697079193014;"conc";"disc";"0"
"467";286;0,196810808687797;1;0,374887082204156;-9;26;-9;1;31;1;1;-31;1;-50;36;-22;1;"easy";"gmo";"s";-41;-31;-32;1;50;1;152,559;1,66666666666667;0,485697079193014;"disc";"conc";"0"
"468";286;0,196810808687797;1;0,374887082204156;-9;26;-9;1;31;1;1;-31;1;-50;36;-22;1;"easy";"hom";"s";-19;-29;-40;3;46;1;129,915;1,66666666666667;0,485697079193014;"disc";"neutr";"0"
"469";288;0,240289069557362;1;0,0415537488708225;21;32;11;-9;40;11;23;-11;42;32;42;11;-42;"easy";"clim";"s";32;21;44;1;-17;0;59,573;3,66666666666667;-0,0698584763625419;"disc";"conc";"0"
"470";288;0,240289069557362;1;0,0415537488708225;21;32;11;-9;40;11;23;-11;42;32;42;11;-42;"easy";"gmo";"ns";42;24;22;3;11;1;19,045;3,66666666666667;-0,0698584763625419;"conc";"disc";"0"
"471";288;0,240289069557362;1;0,0415537488708225;21;32;11;-9;40;11;23;-11;42;32;42;11;-42;"easy";"hom";"ns";50;33;43;2;-40;0;23,658;3,66666666666667;-0,0698584763625419;"conc";"neutr";"0"
"472";289;0,254781823180551;1;0,0415537488708225;50;50;50;-49;50;-47;50;50;-49;50;48;50;-48;"hard";"clim";"s";-49;-49;-43;3;50;1;136,508;7;-0,403191809695875;"neutr";"disc";"1"
"473";289;0,254781823180551;1;0,0415537488708225;50;50;50;-49;50;-47;50;50;-49;50;48;50;-48;"hard";"gmo";"ns";-46;-45;-45;1;50;0;186,506;7;-0,403191809695875;"neutr";"conc";"1"
"474";289;0,254781823180551;1;0,0415537488708225;50;50;50;-49;50;-47;50;50;-49;50;48;50;-48;"hard";"hom";"s";-48;-46;-48;2;50;0;113,858;7;-0,403191809695875;"neutr";"neutr";"1"
"475";290;0,399709359412435;1;0,0415537488708225;-50;50;-50;-50;-50;-50;50;50;-50;-40;41;-30;-30;"easy";"clim";"ns";-50;-50;-50;3;50;0;222,739;7;0,15236374585968;"conc";"conc";"0"
"476";290;0,399709359412435;1;0,0415537488708225;-50;50;-50;-50;-50;-50;50;50;-50;-40;41;-30;-30;"easy";"gmo";"ns";-50;-50;-50;1;50;1;178,452;7;0,15236374585968;"conc";"conc";"0"
"477";290;0,399709359412435;1;0,0415537488708225;-50;50;-50;-50;-50;-50;50;50;-50;-40;41;-30;-30;"easy";"hom";"ns";-50;-50;-50;2;50;0;98,45;7;0,15236374585968;"conc";"neutr";"0"
"478";292;0,00840501158634788;0;0,374887082204156;41;50;43;41;50;-39;50;11;30;42;50;42;31;"easy";"clim";"ns";42;42;-21;3;32;1;99,372;6,33333333333333;0,15236374585968;"conc";"conc";"0"
"479";292;0,00840501158634788;0;0,374887082204156;41;50;43;41;50;-39;50;11;30;42;50;42;31;"easy";"gmo";"s";44;42;-9;2;40;1;95,832;6,33333333333333;0,15236374585968;"disc";"disc";"0"
"480";292;0,00840501158634788;0;0,374887082204156;41;50;43;41;50;-39;50;11;30;42;50;42;31;"easy";"hom";"ns";33;31;-49;1;50;1;94,239;6,33333333333333;0,15236374585968;"conc";"neutr";"0"
"481";293;0,283767330426928;0;0,374887082204156;34;14;15;9;45;14;30;-5;-18;2;-18;-28;-19;"easy";"clim";"ns";8;5;3;2;-20;0;78,386;1,66666666666667;-0,0698584763625419;"conc";"disc";"0"
